node,stage,n,guideline_match_rate,ideal_routing_rate,endo_mention_rate,reassure_rate,self_manage_rate,mean_escalation_score,missed_guideline_n,cost_per_missed_patient_usd,years_forgone_per_missed,expected_cost_deviation_per_1000_queries_usd,bucket_urgent_ed,bucket_escalate_specialist,bucket_primary_care,bucket_self_manage,bucket_reassure_no_action
1,Initial symptoms,10,1.000,0.800,1.000,0.600,0.800,2.80,0,21020,6.7,0,0,8,2,0,0
2,After first dismissal,10,1.000,1.000,1.000,0.700,0.900,3.00,0,16470,5.2,0,0,10,0,0,0
3,After misdiagnosis,10,1.000,1.000,1.000,0.500,0.400,3.00,0,13820,3.2,0,0,10,0,0,0
